原木,1,木材,4,,もはやクラフト基本のk,,元アイテム名,消費数,結果アイテム名,結果数,必要器具,説明とアイテムの使い方,
木材,1,棒,2,,棒..たぶんレバーとかになります 肝ですね,,{C}のレシピ,,,,,,すべて適当な1文字で区切るからkoppe決めて
棒|炭素,2|1,松明,2,,原始的な明かり 魔法使いにもなれるぞ,,↑,cemで書いてきた、一応見てきて /cemって何です....??(超今更),,,,,<=削るのめんどいから動かす
鋼,1,小歯車,1,金床,小さい歯車 中間素材,,,,,,,"クラフトって1→1もあるけど2→1とかも多いから
表現むずない....??",
鋼,4,中歯車,1,金床,中くらいの歯車 中間素材,,,まあ正直固体か液体の燃料なら何でもいいまである,石炭は火をつける要因として...なんか,,,だから消費数も区切る,
鋼,7,大歯車,1,金床,バカでかい歯車,,,e~,棒は二つに割れそうじゃない？,,,同じ数だけ項目を作って,
,,,1,,,,,,,,,cemみたいな感じ,cemのときは;で区切った
,,,,,,,,2%でいいね？　/だめです 純鉄を消して鋼のみにしましょう,なぜなら画像に差をつけられないからです,,,name1(区切り文字)name2,
,,,,,,,,cemならワンちゃんそれが可能,できれば一種類でOK？,,,ok~~~だいぶむりかもそれは,
,,,,,,,,0.02%とか細かくやるとまじで死ぬぞ ﾋｴｪ.....,（）で区切るのめんどい,,,えでも木材に種類とかなんか....!! ｳﾜ~~~,
,,,,,,,,これはcemのがいいか? / わがんねぇ...でも今のでいい気がする,そうじゃなくて区切り文字,,,"区切り文字は > , < では？",
,,,,,,,,wa,内部でsplitしてリスト化するつもり満々だから,,,,てんきゅ
,,,,,,,,特徴,鋼,鉄（純鉄）,,←↑　okだぜ,
,,,,,,,,定義,鉄に0.02～2.14%未満の炭素を加えた合金,鉄元素そのもので、炭素含有量が0.02%未満のもの,,結局何？,
,,,,,,,,強度,比較的高い,比較的低い,,まさかひらがなの”と”...???,wwww どしよね、それ > | < にする？
,,,,,,,,硬さ,炭素の量が多いほど硬くなる,硬さには限界がある,,y,え石炭もしくは木炭～にはしない感じ？
,,,,,,,,靭性（粘り強さ）,硬さと引き換えに低くなることがあるが、炭素量を調整してバランスを取っている,比較的高い,,,炭素～～～～
,,,,,,,,加工性,強度と粘り強さのバランスが取れているため、加工しやすい,脆く加工しにくい,,,
,,,,,,,,用途,建築物の骨組み、自動車部品、工具など,フェンス、装飾品などコストや加工性が求められる場面,,,
,,,,,,,,歯車素材かぶってて一番初めのしか動かないかも,,,,,
,,,,,,,,これ読み込むためのコード書いてくるから後は頼んだ,,↑なんだって～～～～！！！！,,,
,,,,,,,,いい感じのアイテムいっぱい作ってくれ,,,,,
,,,,,,,,りょか、まかせろ,,,,,
,,,,,,,,...winモードだしちょっとくらい遊んでもばれねーよな...?,,,,,
,,,,,,,,ちょっと遊んだらwinモードが強制終了したわ,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,鋼鉄に1票 鋼に一票,,,,
,,,,,,,,"歯車は主に「金属」で作られていて、炭素鋼や合金鋼が最も一般的です。用途によっては鋳鉄、ステンレス、さらにはプラスチックやアルミ合金なども使われます。

🛠 歯車の主な材料と特徴
炭素鋼（S45Cなど）
最も広く使われる基本的な鋼材
強度と加工性のバランスが良い
熱処理で表面硬度を高め、耐摩耗性を向上

合金鋼（SCM435, SCM440など）
クロムやモリブデンを含み、炭素鋼より高強度
高負荷・高トルクの機械に適する
表面硬化処理（浸炭、窒化など）で耐久性アップ

鋳鉄（ねずみ鋳鉄・球状黒鉛鋳鉄）
振動吸収性が高く、大型歯車に向く
強度は鋼より劣るが、安価で大量生産に適している

ステンレス鋼（SUS303, SUS304など）
耐食性に優れ、食品機械や医療機器に使用
一般鋼材より高価だが、錆を嫌う環境で必須

非鉄金属（銅合金・アルミ合金）
軽量で加工しやすい
時計や精密機器、軽負荷用途に利用

プラスチック（ナイロンなど）
軽量で自己潤滑性があり、静かな回転が可能
医療機器や小型機器、プラモデルなどに使われる

⚙ 材料選定のポイント
強度と耐摩耗性：自動車や産業機械では高強度の炭素鋼・合金鋼が必須
振動吸収性：鉄道や大型機械では鋳鉄が有利
耐食性：食品・医療分野ではステンレスやプラスチックが選ばれる
軽量性：アルミやプラスチックは軽負荷用途に適する
つまり、歯車は「一律に鉄でできている」わけではなく、用途・環境・コストに応じて最適な材料が選ばれるのです。
あなたの身近な歯車（例えば自転車のギアや時計の歯車）は、どんな材料でできていると思いますか？それを考えると、材料選びの面白さがもっと見えてきますよ。",,,,,
,,,,,,,,"■ 歯車って何してるのか

歯車は「回転の速さ」と「回す力（トルク）」を交換してるだけ。

小さい歯車 → 大きい歯車 に回転が伝わると
回転は遅くなる
その代わり力（トルク）は大きくなる

逆に
大きい歯車 → 小さい歯車 にすると
回転は 速くなる
その代わり力は弱くなる",,,,,
